POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1910	Enebakkneset	1910 ENEBAKKNESET	Gate-/veg-adresse	316		3030	Lillestrøm	Viken	59.7847	11.2612	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
1911	Flateby	1911 FLATEBY	Gate-/veg-adresse	3932		3028	Enebakk	Viken	59.8346	11.1408	5	Koordinatane er retta av ein yr.no-brukar	2020-02-19 01:12:16
1912	Enebakk	1912 ENEBAKK	Gate-/veg-adresse	1698		3028	Enebakk	Viken	59.7619	11.1475	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:16
1914	Ytre Enebakk	1914 YTRE ENEBAKK	Gate-/veg-adresse	4580		3028	Enebakk	Viken	59.7303	11.0328	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:16
1916	Flateby	1916 FLATEBY	Postboksar			3028	Enebakk	Viken	59.83464	11.14751	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:05
1917	Ytre Enebakk	1917 YTRE ENEBAKK	Postboksar			3028	Enebakk	Viken	59.72398	11.05048	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:05
1920	Sørumsand	1920 SØRUMSAND	Gate-/veg-adresse	4677		3030	Lillestrøm	Viken	59.9865	11.2437	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
1921	Sørumsand	1921 SØRUMSAND	Postboksar			3030	Lillestrøm	Viken	59.9866	11.2472	3	Koordinatane er kontrollerte av ein yr.no-brukar	2020-02-19 01:12:08
1923	Sørum	1923 SØRUM	Gate-/veg-adresse	1913		3030	Lillestrøm	Viken	60.02066	11.22746	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:21
1924	Sørum	1924 SØRUM	Postboksar			3030	Lillestrøm	Viken	60.02066	11.22746	6	Usikker plassering	2020-02-19 01:12:08
1925	Blaker	1925 BLAKER	Gate-/veg-adresse	2313		3030	Lillestrøm	Viken	59.9774	11.3625	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
1926	Blaker	1926 BLAKER	Postboksar			3030	Lillestrøm	Viken	59.97742	11.36245	6	Usikker plassering	2020-02-19 01:12:08
1927	Rånåsfoss	1927 RÅNÅSFOSS	Gate-/veg-adresse	631		3034	Nes	Viken	60.0314	11.3368	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:22
1928	Auli	1928 AULI	Postboksar			3034	Nes	Viken	60.03401	11.35098	6	Usikker plassering	2020-02-19 01:12:09
1929	Auli	1929 AULI	Gate-/veg-adresse	3456		3034	Nes	Viken	60.034	11.351	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:22
1930	Aurskog	1930 AURSKOG	Gate-/veg-adresse	4969		3026	Aurskog-Høland	Viken	59.9269	11.4492	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:14
1931	Aurskog	1931 AURSKOG	Postboksar			3026	Aurskog-Høland	Viken	59.92828	11.44454	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:04
1940	Bjørkelangen	1940 BJØRKELANGEN	Gate-/veg-adresse	3324		3026	Aurskog-Høland	Viken	59.8848	11.5694	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:14
1941	Bjørkelangen	1941 BJØRKELANGEN	Postboksar			3026	Aurskog-Høland	Viken	59.88380	11.57088	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:04
1950	Rømskog	1950 RØMSKOG	Gate-/veg-adresse	678		3026	Aurskog-Høland	Viken	59.74375	11.80534	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:14
1954	Setskog	1954 SETSKOG	Gate-/veg-adresse	729		3026	Aurskog-Høland	Viken	59.8266	11.7217	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:14
1960	Løken	1960 LØKEN	Gate-/veg-adresse	2766		3026	Aurskog-Høland	Viken	59.7952	11.4645	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:14
1961	Løken	1961 LØKEN	Postboksar			3026	Aurskog-Høland	Viken	59.79481	11.46387	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:04
1963	Fosser	1963 FOSSER	Gate-/veg-adresse	872		3026	Aurskog-Høland	Viken	59.8189	11.4825	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:14
1970	Hemnes	1970 HEMNES	Gate-/veg-adresse	1936		3026	Aurskog-Høland	Viken	59.7206	11.4542	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:14
1971	Hemnes	1971 HEMNES	Postboksar			3026	Aurskog-Høland	Viken	59.72056	11.45417	6	Usikker plassering	2020-02-19 01:12:04
1990	Sørum (ikkje i bruk)	1990 SØRUM (ikkje i bruk)	Historisk			3030	Lillestrøm	Viken	60.02066	11.22746	6	Usikker plassering	2020-02-19 01:28:58
2000	Lillestrøm	2000 LILLESTRØM	Gate-/veg-adresse	5124		3030	Lillestrøm	Viken	59.9575	11.0579	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
2001	Lillestrøm	2001 LILLESTRØM	Postboksar			3030	Lillestrøm	Viken	59.95571	11.04595	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
2003	Lillestrøm	2003 LILLESTRØM	Gate-/veg-adresse	3172		3030	Lillestrøm	Viken	59.9622	11.0415	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
2004	Lillestrøm	2004 LILLESTRØM	Gate-/veg-adresse	4806		3030	Lillestrøm	Viken	59.9539	11.063	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
2005	Rælingen	2005 RÆLINGEN	Gate-/veg-adresse	4278		3027	Rælingen	Viken	59.94649	11.0294	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:24
2006	Løvenstad	2006 LØVENSTAD	Gate-/veg-adresse	2775		3027	Rælingen	Viken	59.9372	11.0265	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:24
2007	Kjeller	2007 KJELLER	Gate-/veg-adresse	3211		3030	Lillestrøm	Viken	 59.9735	11.0412	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
2008	Fjerdingby	2008 FJERDINGBY	Gate-/veg-adresse	4961		3027	Rælingen	Viken	59.9218	11.0738	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:24
2009	Nordby	2009 NORDBY	Gate-/veg-adresse	1251		3027	Rælingen	Viken	59.8654	11.094	5	Koordinatane er retta av ein yr.no-brukar	2020-02-19 01:12:24
2010	Strømmen	2010 STRØMMEN	Gate-/veg-adresse	9862		3030	Lillestrøm	Viken	59.9458	11.0073	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
2011	Strømmen	2011 STRØMMEN	Postboksar			3030	Lillestrøm	Viken	59.94803	11.00522	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
2012	Lillestrøm	2012 LILLESTRØM	Postboksar			3030	Lillestrøm	Viken	59.95330	11.0490	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
2013	Skjetten	2013 SKJETTEN	Gate-/veg-adresse	8182		3030	Lillestrøm	Viken	59.9727	11.0035	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
2014	Blystadlia	2014 BLYSTADLIA	Gate-/veg-adresse	2525		3027	Rælingen	Viken	59.9312	11.0386	5	Koordinatane er retta av ein yr.no-brukar	2020-02-19 01:12:24
2015	Leirsund	2015 LEIRSUND	Gate-/veg-adresse	1597		3030	Lillestrøm	Viken	59.9968	11.0874	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
2016	Frogner	2016 FROGNER	Gate-/veg-adresse	6069		3030	Lillestrøm	Viken	60.0242	11.1018	5	Koordinatane er retta av ein yr.no-brukar	2020-02-19 01:12:21
2017	Frogner	2017 FROGNER	Postboksar			3030	Lillestrøm	Viken	60.02367	11.1087	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
2018	Løvenstad	2018 LØVENSTAD	Postboksar			3027	Rælingen	Viken	59.93745	11.02156	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:10
2019	Skedsmokorset	2019 SKEDSMOKORSET	Gate-/veg-adresse	6258		3030	Lillestrøm	Viken	59.9916	11.0348	3	Koordinatane er kontrollerte av ein yr.no-brukar	2020-02-19 01:12:21
2020	Skedsmokorset	2020 SKEDSMOKORSET	Gate-/veg-adresse	7290		3030	Lillestrøm	Viken	60.0045	11.0329	5	Koordinatane er retta av ein yr.no-brukar	2020-02-19 01:12:21
2021	Skedsmokorset	2021 SKEDSMOKORSET	Postboksar			3030	Lillestrøm	Viken	60.00119	11.04014	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
2022	Gjerdrum	2022 GJERDRUM	Gate-/veg-adresse	5978		3032	Gjerdrum	Viken	60.0717	11.0345	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:17
2023	Skedsmokorset	2023 SKEDSMOKORSET	Postboksar			3030	Lillestrøm	Viken	60.00119	11.04014	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:08
2024	Gjerdrum	2024 GJERDRUM	Postboksar			3032	Gjerdrum	Viken	60.07276	11.03247	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:06
2025	Fjerdingby	2025 FJERDINGBY	Postboksar			3027	Rælingen	Viken	59.93236	11.06735	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:10
2026	Skjetten	2026 SKJETTEN	Postboksar			3030	Lillestrøm	Viken	59.96684	10.99986	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
2027	Kjeller	2027 KJELLER	Postboksar			3030	Lillestrøm	Viken	59.96882	11.05204	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
2028	Lillestrøm	2028 LILLESTRØM	Postboksar			3030	Lillestrøm	Viken	59.95571	11.04595	6	Usikker plassering	2020-02-19 01:12:08
2029	RÆLINGEN	2029 RÆLINGEN	Postboksar			3027	Rælingen	Viken	59.94649	11.0294	6	Usikker plassering	2020-02-19 01:12:10
2030	Nannestad	2030 NANNESTAD	Gate-/veg-adresse	4018		3036	Nannestad	Viken	60.2215	11.0187	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:22
2031	Nannestad	2031 NANNESTAD	Postboksar			3036	Nannestad	Viken	60.22371	11.03008	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:09
2032	Maura	2032 MAURA	Gate-/veg-adresse	4317		3036	Nannestad	Viken	60.2582	11.0294	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:22
2033	Åsgreina	2033 ÅSGREINA	Gate-/veg-adresse	635		3036	Nannestad	Viken	60.1777	10.9860	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:22
